X,Y,class
7.55007,8.12269,0
10.7063,8.99442,0
8.95808,7.72273,0
7.35664,7.20876,0
10.5684,6.98746,0
7.3487,6.12591,0
6.43142,9.21986,0
6.60268,9.22722,0
7.57846,8.34683,0
8.89383,7.13921,0
6.83554,8.62419,0
8.41994,7.49831,0
8.4758,7.0537,0
8.23885,7.90965,0
6.53864,6.5441,0
7.35942,8.98183,0
10.6636,6.68281,0
9.78516,6.38332,0
6.06154,7.8623,0
6.70139,5.82202,0
7.67521,8.22335,0
6.69878,6.53233,0
9.05349,7.16892,0
6.97068,8.36119,0
7.09487,8.08015,0
9.49922,5.8772,0
7.20025,9.08551,0
7.86051,5.44381,0
10.4538,8.41418,0
7.69646,7.62459,0
7.84624,8.64074,0
6.90541,8.01435,0
8.50164,6.11866,0
6.92314,6.02734,0
8.41666,7.78633,0
9.36519,9.7329,0
8.44745,8.02853,0
7.55081,6.69516,0
6.96599,9.52876,0
8.44429,6.56857,0
8.5576,8.00742,0
7.19031,8.44439,0
8.3107,8.71319,0
7.28673,9.34406,0
8.68385,7.32875,0
8.85471,7.65363,0
9.33769,7.12804,0
7.19643,7.54017,0
8.69298,7.77131,0
9.07088,5.69029,0
7.37812,6.43361,0
8.85044,9.82781,0
7.07613,8.59854,0
6.37177,9.14476,0
8.97863,8.03099,0
6.37867,6.83112,0
8.49682,7.03827,0
9.12652,8.35226,0
9.74734,6.81161,0
8.73398,7.0645,0
8.55169,6.4136,0
8.54152,8.24148,0
7.94132,7.61282,0
7.10937,8.48738,0
10.2714,9.02969,0
7.46483,8.03104,0
7.70201,8.26881,0
8.86116,7.5844,0
7.45809,10.883,0
9.0251,7.97148,0
9.04726,5.31289,0
8.74652,6.55861,0
5.59941,7.15891,0
8.94689,7.38734,0
8.02456,9.8884,0
6.73136,8.84579,0
8.35338,7.08559,0
9.21189,7.41696,0
6.47731,8.94383,0
7.09371,7.35923,0
8.4516,4.39094,0
6.9961,6.85477,0
7.4556,8.40592,0
8.39622,8.77557,0
7.47012,6.79151,0
8.02067,7.94573,0
8.19885,6.59477,0
9.45065,6.53011,0
8.41802,8.85123,0
7.83533,8.18901,0
7.4727,6.95578,0
8.15106,8.09438,0
9.14675,7.2379,0
7.95127,7.29965,0
8.86451,7.34075,0
7.96149,7.62272,0
7.18071,7.9203,0
6.89565,7.85251,0
9.52447,9.71939,0
8.3645,5.63535,0
6.99719,8.30641,0
8.21481,9.38259,0
8.66733,5.89356,0
7.22753,7.04003,0
8.46883,8.27444,0
7.27709,7.72672,0
6.65926,6.23834,0
8.21155,8.62236,0
8.95287,7.86354,0
7.79999,7.01136,0
8.4157,7.23396,0
8.74183,8.34279,0
5.90685,7.28072,0
6.7393,8.31646,0
8.39605,8.05832,0
6.61822,6.20008,0
8.0707,9.04561,0
9.04592,7.96349,0
9.72295,7.33484,0
8.29773,7.32385,0
8.18857,7.54909,0
8.52809,5.48121,0
6.81029,8.02728,0
8.15941,10.0603,0
9.27632,8.82936,0
5.74389,8.50362,0
8.82297,5.47105,0
8.66195,7.81254,0
8.27905,8.22843,0
7.39225,8.60229,0
7.45093,7.19089,0
8.20385,7.28399,0
9.79236,8.37475,0
6.77084,8.83207,0
8.04615,7.46314,0
8.82758,9.09182,0
8.41794,6.59728,0
9.28786,7.85507,0
6.6048,7.27748,0
9.20264,8.92746,0
8.49549,8.60826,0
6.68521,7.92526,0
7.72172,9.50781,0
6.90674,7.64224,0
7.83276,6.35784,0
7.85287,9.39798,0
7.24,6.37836,0
5.57639,9.04943,0
7.20947,7.22624,0
7.25633,6.5071,0
9.16378,9.64692,0
7.88952,8.99391,0
9.39659,8.11872,0
6.86927,7.96211,0
7.90204,8.50011,0
9.2883,6.46659,0
6.71989,6.63863,0
7.61265,6.86991,0
8.51985,8.68285,0
7.28658,7.88987,0
8.75636,7.60127,0
8.80738,9.39434,0
8.17846,8.89724,0
8.55554,6.47228,0
6.99076,7.58115,0
7.66399,10.4225,0
6.57333,10.2858,0
8.59022,9.86422,0
7.06526,7.16562,0
9.92625,7.58947,0
8.24747,9.64629,0
7.73934,7.98109,0
6.22179,8.45399,0
7.72672,7.94043,0
7.46612,8.34977,0
9.10986,5.74947,0
8.59215,7.58583,0
9.19993,7.37644,0
7.23561,6.82621,0
9.43888,7.67692,0
6.28,8.27335,0
8.84055,8.96826,0
6.51035,8.52979,0
9.01293,8.19222,0
6.31848,7.05426,0
7.83037,7.76977,0
10.0996,6.86209,0
8.75486,6.93489,0
8.34192,9.74577,0
8.00592,8.91332,0
7.87655,6.25667,0
8.01466,9.10548,0
9.22728,8.86018,0
8.38575,8.20094,0
7.99996,9.66662,0
8.78707,8.63668,0
9.45353,7.92875,0
6.10881,7.82961,0
8.75048,7.03467,0
8.103,5.97993,0
8.24728,8.0547,0
8.46496,8.53792,0
6.72325,9.07262,0
7.97503,7.3121,0
8.51707,7.87849,0
6.86016,9.83344,0
7.41869,6.45948,0
8.98174,9.27128,0
6.58022,10.0771,0
7.63996,7.04603,0
8.42023,7.03934,0
8.43944,9.94963,0
8.52285,7.11625,0
7.79987,8.10774,0
7.12602,7.73098,0
8.72309,7.5321,0
7.24702,8.32678,0
10.6127,7.6585,0
9.28507,10.74,0
9.54319,8.58454,0
8.40747,4.91252,0
9.7714,6.63467,0
8.96847,9.43164,0
8.98479,7.58954,0
7.77944,8.54562,0
7.77636,8.73056,0
6.17092,8.15124,0
8.53466,6.8984,0
7.03661,8.68983,0
9.0939,8.15435,0
8.4769,8.51462,0
8.00777,8.096,0
8.24903,10.3336,0
7.24799,7.67321,0
7.49489,7.09267,0
6.77955,6.63594,0
7.12932,7.0704,0
7.82873,8.68609,0
7.72158,8.45394,0
8.79728,7.12902,0
6.605,8.41662,0
7.47578,8.90043,0
6.89707,8.77297,0
8.23073,8.44163,0
8.56358,7.94959,0
7.36195,8.18786,0
9.16165,8.01792,0
7.92653,6.88263,0
8.73988,9.54187,0
5.63802,9.00292,0
6.17308,9.00833,0
8.38421,6.77721,0
7.61147,7.61678,0
6.8871,8.11029,0
7.53236,7.87257,0
9.4721,8.98389,0
8.57798,8.84671,0
8.58362,8.04795,0
8.82755,7.91274,0
8.12972,8.02067,0
8.99462,8.61986,0
7.73334,5.75966,0
9.04029,8.385,0
9.28584,7.57375,0
8.41443,10.1985,0
8.43075,7.10408,0
8.69271,8.85847,0
7.6862,7.74388,0
6.78806,7.70587,0
6.64361,7.90829,0
9.41949,8.21636,0
6.83906,7.75155,0
9.60845,7.23919,0
7.7563,9.16652,0
7.50187,7.67983,0
7.50853,7.92502,0
7.47802,7.26522,0
8.6132,9.23109,0
7.30259,6.96441,0
7.49769,7.17397,0
6.46778,7.39514,0
8.37442,8.28279,0
10.1852,6.99778,0
8.00992,10.3055,0
9.25567,8.56042,0
7.58157,6.19317,0
8.15073,7.98771,0
6.07173,8.43443,0
7.52124,6.70977,0
8.6025,7.30584,0
7.59112,8.27041,0
7.01282,8.90368,0
9.41215,9.65741,0
8.27346,7.24516,0
7.24841,8.87485,0
7.92578,7.55431,0
7.43176,8.90105,0
8.37994,6.17703,0
9.30206,6.8714,0
8.64331,7.86892,0
7.35095,6.65837,0
8.42103,8.45738,0
7.17111,7.69822,0
8.346,7.94395,0
7.8352,8.20643,0
7.66899,6.36212,0
7.08751,9.02595,0
7.90111,8.07222,0
7.28559,8.36236,0
6.58922,8.97974,0
8.71899,8.30999,0
7.11527,7.01363,0
8.65379,8.29659,0
8.75741,8.64485,0
9.56595,7.35476,0
7.03352,8.42957,0
9.14846,7.01457,0
7.85787,7.55415,0
8.14037,8.51841,0
8.0247,6.44837,0
6.96581,10.4791,0
8.39463,7.72456,0
5.0281,8.42381,0
8.97482,7.10686,0
9.44919,8.66851,0
7.96963,10.5253,0
8.74447,7.93396,0
7.44917,8.05421,0
6.11858,6.68528,0
8.20467,7.29545,0
8.32331,7.81171,0
7.23839,7.6788,0
7.71773,8.62166,0
9.99198,6.47233,0
8.22815,7.67518,0
8.03736,7.69988,0
9.23886,8.25749,0
8.46235,6.93163,0
8.32793,6.77096,0
6.83411,8.11251,0
8.18387,7.98746,0
7.99706,7.24048,0
7.53366,8.70816,0
7.66991,8.04314,0
8.37183,6.59467,0
8.5831,8.03984,0
6.86835,8.88299,0
8.9472,6.76907,0
7.83829,7.49638,0
8.58699,8.28715,0
6.83107,8.97861,0
7.70903,7.57285,0
7.37922,8.45217,0
8.38668,8.05567,0
7.71853,9.20149,0
10.1124,8.52225,0
9.71018,6.02757,0
7.51934,8.06156,0
6.52567,8.12088,0
8.03055,8.36099,0
7.12959,7.15931,0
8.65879,9.39325,0
8.38366,5.91888,0
8.38639,8.12655,0
7.7601,8.35567,0
8.31773,8.30012,0
7.95274,8.93517,0
7.49829,8.69704,0
8.49006,8.05012,0
7.42735,8.80483,0
7.65049,6.73475,0
8.36158,7.61553,0
8.33333,7.73955,0
8.30678,7.56808,0
9.23631,9.75505,0
8.06659,8.51353,0
8.10529,7.83217,0
6.90079,7.04328,0
7.27308,6.94569,0
8.11373,7.32404,0
9.15495,9.59396,0
8.09959,8.0888,0
7.63243,7.11516,0
9.94252,7.36772,0
7.87832,9.09304,0
8.83446,7.20307,0
8.31607,8.38515,0
6.45325,8.19716,0
7.48333,8.4735,0
8.20501,8.08237,0
6.25405,7.81063,0
6.68673,7.67696,0
8.27237,9.06187,0
9.07339,6.81243,0
6.6132,6.45694,0
7.1198,8.98175,0
7.64215,7.74561,0
7.18696,8.40108,0
8.84694,6.71513,0
7.95736,7.78013,0
7.46897,8.59173,0
6.65966,9.14434,0
7.74375,9.06321,0
7.73416,9.2868,0
8.74355,8.04163,0
9.46983,7.95912,0
6.70043,8.94118,0
7.96844,6.34561,0
6.26402,8.33161,0
8.24027,6.97756,0
7.22041,7.56912,0
8.00683,8.6781,0
9.54451,6.70457,0
7.0268,8.68789,0
8.61639,7.33909,0
8.23534,8.71265,0
8.91335,6.09833,0
9.00427,6.92927,0
8.30711,7.26569,0
8.78599,7.87356,0
7.00084,6.80368,0
7.43077,7.91814,0
8.02479,6.25436,0
8.12362,6.98587,0
9.09482,6.72859,0
7.91584,8.25055,0
8.12721,7.42377,0
7.67323,8.2283,0
9.26741,9.06547,0
8.40857,9.34996,0
7.4586,7.39005,0
8.36261,8.48803,0
9.06502,9.07633,0
7.95115,7.49376,0
6.43688,8.03733,0
7.53686,7.74284,0
10.772,7.96327,0
8.58708,9.01404,0
7.13167,8.83917,0
8.90437,8.53017,0
8.20554,6.64407,0
9.41447,8.90342,0
8.39038,8.70051,0
7.05506,7.20174,0
7.44615,7.83487,0
6.43773,6.90311,0
8.58884,7.17243,0
8.0585,8.17772,0
9.40042,7.46543,0
7.94899,5.9764,0
8.18605,7.9431,0
7.1026,8.1903,0
9.16931,8.08989,0
6.39618,7.79927,0
8.41358,5.44268,0
9.19993,6.06726,0
8.29888,6.59305,0
7.68151,9.15526,0
6.44503,8.17691,0
8.27075,6.28072,0
8.19706,9.47861,0
8.54242,9.04384,0
7.59122,8.73892,0
7.91839,8.43055,0
8.47734,6.07368,0
6.26202,7.48841,0
8.25956,6.71357,0
7.7233,5.37863,0
7.0917,7.33405,0
9.0845,6.26287,0
7.4883,6.03564,0
6.93908,7.47049,0
7.37506,7.15115,0
7.97244,8.14664,0
8.34997,8.37907,0
7.71704,7.81232,0
7.87666,8.31342,0
8.19394,7.84475,0
9.27566,7.30701,0
6.94381,8.3868,0
6.42409,8.29014,0
9.56098,7.23749,0
8.08427,6.47956,0
6.15054,8.67499,0
10.6187,9.17582,0
8.83344,6.88224,0
7.9733,5.45575,0
7.17468,8.32069,0
6.5289,8.38463,0
7.25268,7.71217,0
7.5355,8.33316,0
6.6366,8.19177,0
7.55076,9.40814,0
8.04217,8.15394,0
9.05568,8.04301,0
5.51167,8.71289,0
7.69936,8.47508,0
6.44323,8.4361,0
9.81784,7.54949,0
7.56817,8.46326,0
6.86321,9.41483,0
8.88051,8.16795,0
7.34606,9.01264,0
7.73975,6.94331,0
6.66611,7.63618,0
7.37312,8.76539,0
6.75005,7.87145,0
9.36468,8.25582,0
8.20839,7.90015,0
9.00627,8.54912,0
7.07122,9.11361,0
8.5435,8.17348,0
9.6069,9.79335,0
6.72465,8.51524,0
8.86508,6.70236,0
9.2658,7.74381,0
7.8664,10.9926,0
6.30423,9.51921,0
7.85343,10.2255,0
7.89257,7.04344,0
8.50628,7.22062,0
7.15666,9.17174,0
9.57484,8.19301,0
7.30378,7.80596,0
10.591,8.41928,0
5.1359,7.49472,0
7.4241,8.36906,0
8.5491,8.4924,0
8.23751,8.02437,0
9.09492,7.5084,0
9.34038,9.43279,0
7.2509,8.32462,0
8.38792,7.56356,0
9.51339,9.62805,0
8.09625,7.86767,0
9.97894,6.45203,0
7.45877,8.19429,0
7.96843,7.86449,0
9.18061,8.36137,0
6.33487,6.63411,0
9.68677,8.94701,0
8.77748,6.619,0
7.63075,7.87977,0
8.28619,8.87837,0
7.39137,5.67347,0
8.09933,8.05593,0
7.79513,9.00428,0
8.5549,8.24078,0
7.65241,7.49678,0
7.40358,8.37817,0
6.29562,8.36361,0
6.75302,7.00332,0
7.41892,8.81232,0
8.63435,7.48912,0
8.59776,8.07673,0
7.23263,7.935,0
